Industry_Type,Year,Energy_Consumption_MWh,Fuel_Consumption_Tons,Production_Output_Tons,Renewable_Energy_Percentage,Operating_Hours,Emission_Control_Index,Carbon_Emissions_tCO2
Cement,2017,44142.89,3143.75,67061.93,21.29,7101,3.04,25564.15
Textile,2003,20035.67,5638.01,95684.3,55.56,3760,4.16,18698.07
Steel,2016,34485.43,9334.05,66395.05,50.93,7421,7.76,33084.95
Chemical,2001,21121.32,3128,58627.5,23.97,5456,6.04,14702.59
Cement,2023,32602.09,581.41,84908.39,59.57,2393,9.59,12416.44
Steel,2021,15816.91,6788.71,63575.24,3.12,4693,3.05,21561.97
Power,2001,30507.01,7889.73,17390.57,47.32,5307,8.85,28130.76
Paper,2011,26426.05,9582.9,32160.12,26.03,6378,3.55,31506.9
Textile,2005,1711.77,1662.23,73602.67,26,2699,3.21,3002
Steel,2009,39639.79,3982.19,74099.86,10.21,2120,5.49,25531.52
Cement,2024,1088.94,8456.99,98713.87,30.89,6329,1.64,17663
Power,2022,15011.22,8088.03,63070.51,5.08,2571,4.46,23810.32
Automobile,2024,793.24,6285.48,90054.97,36.99,5873,4.2,12201.41
Cement,2020,19121.97,2766.75,6403.45,14.5,7164,2.44,13818.94
Paper,2022,3626.45,2911.95,57056.01,43.49,1728,8.75,5248.59
Cement,2015,45718.79,1327.63,92064.95,36.44,4504,4.47,21500.24
Power,2013,21076.13,9226.35,29437.18,44.78,1615,9.84,26810.23
Cement,2006,23245.04,1812.02,16332.78,44.98,1370,9.1,11555.51
Power,2018,17817.59,5771.58,35700.51,11.8,4464,2.75,19913.39
Steel,2022,31561.55,5885.08,79431.38,0.04,7767,5.55,26482.27
Power,2016,39328.2,3759.09,9385.38,21.95,6338,6.42,24319.29
Power,2008,32583.26,3589.93,60433.53,55.14,6623,8.37,19350.31
Textile,2012,37536.25,6719.03,14427.53,34.67,5727,8.97,29209.98
Power,2021,45345.7,3944.15,44117.71,43.65,5856,6.62,26542.3
Power,2004,43245.55,2625.64,96631.72,52.77,5942,1.32,22967.71
Automobile,2022,33865.89,4051.4,20319.28,54.36,1947,5.33,21338.73
Steel,2004,11124.58,8095.85,4367.64,31.74,2119,8.96,20472.13
Paper,2009,32066.29,9668.14,43293.13,32.46,2455,7.43,33509.74
Textile,2020,25551.11,6395.91,58191.86,51.06,7331,8.83,22467
Automobile,2009,36002.35,7842.8,30454.26,48.45,3548,7.07,30668.82
Chemical,2006,41730.12,5374.97,54635.03,41.93,3422,1.4,28758.29
Steel,2014,37264.71,6285.75,95386.79,36.27,7577,9.71,27981.77
Steel,2006,42404.78,9882.06,31865.31,37.03,6263,9.26,38230.28
Chemical,2014,3661.39,4440.35,31633.28,21.77,4611,2.14,10288.8
Paper,2002,2065.19,755.92,48794.02,50.46,3546,2.01,332.76
Power,2018,13295.78,9574.37,52016.32,37.07,7149,5.85,24861.92
Automobile,2009,45082.97,7951.31,1135.23,13.41,2340,7.81,36306.62
Cement,2014,41271.13,4043.27,61971.64,14.39,4845,4.44,26358.8
Textile,2002,34295,9825.71,99738.38,51.7,6349,2.23,34713.71
Cement,2005,35187.55,3520.8,29908.8,37.54,2518,5.6,21406.56
Chemical,2011,36470.19,3783.99,63450.19,23.92,6825,4.04,23294.76
Steel,2014,47158.83,6136.34,1457.54,11.23,7760,4.17,33771.82
Paper,2005,41693.46,2816.04,60828.33,36.61,2959,6.8,22676.94
Steel,2012,31357.82,7015.86,45259.76,11.06,1710,8.97,28027.11
Textile,2018,33452.91,1613.22,53499.02,28.21,5570,6.03,16750.89
Steel,2002,11080.14,1169.45,54846.59,40.65,1573,7.19,5070.05
Steel,2007,33037.28,5395.29,18518.34,33.92,3843,6.94,24546.81
Textile,2007,21521.61,5599.39,77226.84,55.33,1507,5.96,19074.98
Automobile,2022,8071.61,1155.89,55991.49,2.38,7735,3.8,5623.98
Automobile,2019,40416.94,9645.34,27749.25,16.79,3222,4.4,38207.77
Textile,2014,25757.23,5775.54,93800.77,3.43,5787,3.84,23698.94
Paper,2003,48882.54,1595.25,2264.6,11.68,2294,9.26,23928.29
Chemical,2018,14443.13,3183.28,72867.78,7.44,2697,8.44,12192.22
Steel,2020,24293.17,8022.32,38742.28,43.96,1787,6.21,26077.43
Paper,2002,22675.78,5279.99,52731.94,22.16,4789,9.21,19828.48
Steel,2012,6478.59,1962.67,29859.47,55.5,5667,8.98,3935.64
Chemical,2007,21592.71,1118.2,32803.97,1.4,3233,9.35,10998.76
Automobile,2022,14733.9,4364.67,2501.46,39.18,1586,3,14305.33
Paper,2015,8435.86,3440.41,73254.66,58.23,4165,7.46,8140.64
Power,2012,14466.7,6593.58,71369.04,10.55,4650,6.48,19816.29
Power,2002,12045.96,9259.95,65781.46,26.55,5609,7.6,23818.57
Power,2015,36836.64,2552.53,87917.12,42.11,4249,3.37,20103.25
Automobile,2008,2023.37,8566.82,90225.49,37.99,3701,7.25,17367.92
Automobile,2013,31064.41,9212.57,56087.99,33.96,7071,4.69,32325.44
Chemical,2012,38152.74,9029.83,68797.53,19.61,5036,8.51,35228.76
Steel,2020,24295.81,9525.57,2088.84,43.69,1555,8.16,29162.57
Chemical,2024,46612.47,8436.88,84787.96,39.2,2709,2.9,37620.75
Chemical,2006,35540.09,5975.51,81824.93,9.77,4975,2.65,28430.36
Automobile,2014,37522.22,4157.48,3004.61,57.85,5390,7.46,22822.26
Power,2006,10248.21,4967.71,54739.7,33.34,4307,5.95,13493.06
Cement,2005,38976.13,8738.86,90758.9,31.53,6212,6.01,34782.35
Steel,2001,41688.69,3083.84,18957.41,50.89,2510,7.77,22576.36
Automobile,2008,18382.69,1676.69,35911.85,38.42,7187,8.69,9381.33
Power,2021,11061.47,1494.11,33774.31,4.47,3586,3.15,7707.9
Paper,2023,19560.01,8287.25,36238.11,30.4,6903,6,25097.95
Cement,2016,37110.59,7638.71,5146.72,46.84,4546,8.46,30616.13
Cement,2004,21173.13,5026.69,28622.75,42,7182,8.86,17843.43
Automobile,2011,36964.27,2821.23,30190.77,58.25,5076,3.59,20079.83
Textile,2000,6121.44,6808.37,86721.33,1.49,4506,1.94,17440.66
Steel,2009,40397.58,480.49,35859.48,15.67,7078,3.1,18237.19
Cement,2010,13033.77,5725.46,45274.46,32.95,7432,9.51,16002.01
Automobile,2015,12821.98,4044.41,38693.07,37.17,5343,5.16,12561.59
Automobile,2013,29723.86,9780.81,12946.67,16.46,4633,4.77,33662.72
Power,2007,3970.84,5124.85,99045.32,49.61,3406,1.12,10942.75
Paper,2023,1801.74,5567.45,82756.69,9.86,2461,1.46,12489.57
Textile,2016,13420.92,7152.39,54551.11,0.05,6914,7.02,20930.27
Steel,2024,27134.34,4896.93,48160.08,57.14,7352,6.31,19940.9
Chemical,2017,45427.01,2323.23,65276.22,23.49,3171,6.18,23872.06
Paper,2011,42398.54,5419.05,33316.68,57.45,6070,1.99,28464.45
Paper,2024,24777.1,9448.26,5978,16.68,6973,4.17,30768.27
Power,2016,2334.07,4158.12,41027.36,3.81,1402,8.31,9048.6
Cement,2013,26995.01,6828.45,98413.78,46.35,1283,2.57,25007.94
Cement,2015,35387.38,9782.54,19052.33,50.15,7806,8.94,34367.11
Power,2013,17288.64,8316.23,53242.82,29.53,7719,2.09,24643.59
Automobile,2008,5997.63,6624.44,1843.62,4.43,7115,2.52,16793.1
Cement,2003,14289.11,7386.37,13081.12,39.25,1240,5.3,20474.11
Textile,2024,38693.65,9371.18,59131.98,10.93,5262,9.51,36450.34
Steel,2022,17886.57,9601.55,30443.98,50.96,6871,3.97,26657.57
Paper,2010,40693.08,9692.78,90662.76,16.44,5656,6.92,38148
Paper,2005,16316.31,6293.85,41210.81,50.86,3195,6.3,18398.41
Textile,2014,8595.97,3908.65,21595.33,25.62,1700,2.35,11160.42
Cement,2004,22074.49,1418.22,55013.59,35.79,3670,3.23,11234.4
Paper,2010,22887.59,3916.93,79702.39,47.37,2919,9.37,15897.46
Chemical,2024,1297.36,9435.26,2922.55,2.43,5360,2.66,20924.98
Steel,2017,6293.73,8908.99,51046.49,49.27,3548,7.26,19589.96
Steel,2012,9653.84,5284.23,77569.23,8.32,3326,9.68,14475.13
Paper,2010,6122.57,5416.37,11255.28,21.51,3796,2.08,13561.17
Power,2013,17405.54,3158.31,90377.05,28.37,3206,4.59,13095.18
Paper,2017,48248.83,4599.63,27187.22,53.73,6179,3.02,29319.56
Power,2024,25706.52,7173.04,17889.76,1.35,5594,2.99,26935.82
Paper,2018,31564.02,4084.06,59336.35,33.55,2610,2.07,21598.34
Chemical,2023,18141.13,1961.04,18328.08,38.55,1487,6.85,10113.8
Automobile,2014,16512.64,5454.51,68290.45,18.99,1464,7.72,17744.61
Steel,2008,1645.77,2330.84,49520.11,17.43,5323,7.09,4320.44
Paper,2007,25266.52,9745.45,11885.64,29.43,1665,9.32,30514.32
Chemical,2019,24438.65,3964.37,91336.52,11.23,6475,2.31,18992.61
Power,2000,8312.62,9105.68,67647.34,28.09,2489,3.88,22183.98
Power,2003,38334.04,2332.98,55053.31,45.9,7965,4.1,20054.87
Steel,2013,24887.38,1973.17,38059.72,50.72,1798,3.09,13140.7
Textile,2024,17280.2,6207.32,14351.13,23.11,3800,2.28,20234.19
Paper,2001,7771.99,7815.85,71044.32,37.04,4298,5.38,18565.07
Cement,2015,27831.96,5710.97,81551.93,0,4240,8.51,24067.32
Power,2002,37764.44,2374.98,13456.07,33.02,4355,9.59,19747.35
Automobile,2007,14458.97,475.15,49962.19,58.51,4929,2.16,4952.27
Automobile,2005,11330.32,6221.06,48999.77,18.74,5357,8.41,17026.18
Power,2015,26335.78,1397.27,35641.26,35.69,4873,8.42,12487.1
Textile,2023,8189.49,3497.45,79144.85,45.74,1859,4.5,9010.06
Textile,2015,33497.36,6790.27,10853.45,36.54,1363,1.99,28312.01
Chemical,2006,30464.51,1070.43,21296.9,25.11,7142,9.91,13870.38
Automobile,2012,4810.56,1359.79,1158.67,9.15,7126,6.9,3962.29
Chemical,2012,2307.76,710.5,37925.55,27.82,4932,9.84,307.99
Automobile,2004,31204.29,9961.18,29826.64,17.69,3145,5.35,34606.93
Paper,2024,15067.54,3932.06,86832.4,41.76,6131,4.56,13213.33
Paper,2019,4779.06,9067.37,74835.21,26.51,3831,3.22,20651.99
Cement,2021,38091.72,3006.5,9362.75,50.99,5678,9.85,20533.97
Paper,2017,16045.18,7556.71,74354.64,11.6,6022,3.28,22987.49
Cement,2014,23250.18,2268.76,67864.62,25.06,4572,1.21,14306.25
Paper,2017,12222.24,5033.41,28890.7,33.45,7278,5.61,14562.31
Steel,2001,31552.2,8263.7,2530.62,7.56,7402,4.39,31549.43
Paper,2009,15423.68,8181.71,12401.08,35.27,1915,3.35,23127.62
Chemical,2022,48417.04,7963.38,25744.17,17.46,7660,6.71,37803.5
Power,2012,35295.9,8254.97,81845.61,13.77,7082,4.28,32979.69
Chemical,2017,7267.75,2193.58,47065.97,8.51,2774,4.62,7201.56
Power,2014,21126.39,4873.94,91921.16,20.99,4365,1.21,19244.74
Textile,2011,19578.34,4900.23,79125.7,55.74,6559,6.3,16605.16
Chemical,2014,26945.23,8915.97,29423.71,1.86,1150,2.1,31414.09
Textile,2012,42175.57,3039.23,84690.85,51.13,6600,2.92,23269.71
Cement,2017,29379.39,9321.81,12555.76,23.84,5963,7.45,31881.11
Cement,2014,3547.06,4562.88,4575.63,33.7,4220,3.82,9828.11
Steel,2024,32943.08,6730.89,61245.27,30.77,4021,2.47,28105.14
Paper,2022,909.13,2761.94,34832.56,55.54,5237,6.2,3519.78
Chemical,2010,39108.04,4161.95,33613.14,46.21,7394,2.93,24554.91
Textile,2018,33498.49,7127.03,69033.61,59.09,4817,3.44,27977.39
Power,2002,15784.89,5176.2,85160.28,47.67,6002,6.59,15793.24
Cement,2006,14975.87,9314.01,32895.38,17.75,7787,7.66,25600.76
Paper,2020,40014.51,7397.54,33176.37,57.77,2070,7.66,31051.12
Cement,2013,39275.17,5687.59,53851.25,59.01,4443,5.34,27185.32
Power,2013,17938.97,8878.03,65665.18,7.39,5189,5.09,26697.8
Paper,2021,15297.91,6689.01,21087.67,54.06,1760,8.09,18466.68
Paper,2012,28211.33,6508.47,91355.24,39.85,5451,2.74,25090.93
Textile,2011,914.1,2539.08,65787.24,55.32,5627,2.37,3500.12
Textile,2023,4592.02,4009.08,62891.02,54.94,3739,6.98,7851.18
Chemical,2008,6745.39,6864.71,90515.37,53.48,3017,4.69,15435.79
Chemical,2000,9677.88,8928.74,90819.24,53.12,6548,7.39,20986.67
Automobile,2018,25844.9,3223.92,14419.46,7.06,7791,3.31,18043.23
Automobile,2010,49615.97,2233.31,15362.47,8.61,7845,3.92,26425.67
Steel,2022,32804.36,5977.59,76432.92,7.07,7867,9.07,26541.46
Cement,2021,3534.29,765.25,95731.11,5.46,1916,4.79,2480.78
Chemical,2022,26516.18,7173.96,66984.85,21.2,7207,6.32,26108.59
Textile,2023,25083.94,7061.07,41720.38,41.04,4943,1.96,24945.33
Power,2021,7636.31,3614.16,68663.84,21.28,4460,2.61,10223.09
Textile,2018,46053.48,8937.51,23652.35,43.22,2492,1.32,38499.39
Cement,2017,22317.88,5071.59,99798.66,49.22,4621,4.82,18653.34
Automobile,2011,49730.68,6493.07,43677.44,39.97,1726,9.9,33876.76
Textile,2022,21293.58,2174.83,93236.91,27.91,6650,8.86,12187.14
Steel,2000,30593.91,4231.67,43649.01,17.73,5861,6.7,21563.73
Cement,2018,5685.75,8637.93,92885.84,7.46,2609,8.75,20213.63
Automobile,2019,22984.28,2208.1,34232.86,29.62,6018,6.35,13253.95
Power,2016,12318.91,3966.69,76293.76,43.18,5748,4.32,12024.63
Automobile,2004,41860.46,3248.96,95149.2,32.89,6000,2.56,24362.12
Paper,2002,39304.02,1595.99,64952.09,43.29,7750,6.88,18640.79
Steel,2001,41296.91,2968.21,68078.96,20.11,5841,2.74,23980.47
Cement,2002,36318.67,2404.45,11185.74,4.01,1939,4.76,20901.59
Power,2007,41717.82,9243.58,47947.77,46.27,1087,8.43,36246.5
Steel,2015,10441.02,7436.68,88788.79,13.18,6929,2.16,20272.76
Automobile,2005,22876.17,3229.41,24850.07,36.98,1562,2.16,15660.58
Steel,2012,34746.42,7657.06,79047.94,48.26,2268,3.02,30188.62
Cement,2022,32050.93,319.19,67895.28,8.35,2490,5.97,14074.74
Chemical,2021,35959.55,5312.59,23075.61,35.91,6561,3.27,26040.7
Steel,2021,11600.79,2578.31,28996.33,41.36,5537,5.53,8574.64
Paper,2015,5372.52,1231.79,43328.53,44.79,7045,3.72,2889.57
Steel,2015,45881.93,8849.21,13387.79,8.86,4079,5.56,39093.53
Automobile,2002,28228.51,2073.47,91423.76,49.51,2572,3.5,14864.06
Automobile,2012,8114.38,8241.67,74196.4,5.65,5654,9.82,20378.75
Power,2013,39775.11,4190.9,37131.45,31.18,4171,5.43,25219.98
Automobile,2007,45789.03,241.48,30666.88,26.6,3800,7.69,19149.52
Textile,2011,8893.39,7352.08,69268.31,13.31,7624,7.3,18768.2
Cement,2022,40961.92,6003.96,42997.87,18.12,7846,5.42,30266.38
Cement,2022,46694.64,3507.3,23704.32,9.87,4413,3.15,27955.85
Chemical,2021,46948.9,2887.3,43584.92,25.54,6038,5.6,25785.47
Chemical,2020,45750.74,829.54,87258.4,2.13,2257,7.13,21472.02
Cement,2007,27547.84,9420.11,7792.06,53.33,5888,5.14,30370.77
Paper,2020,18132.46,4990.45,37467.47,9.81,7269,1.74,18537.4
Chemical,2024,860,946.69,96271.6,53.16,5785,1.16,204.12
Power,2008,3515.16,8699.93,2468.35,51.81,5572,3.95,18175.27
Automobile,2000,21727.53,2860.45,89173.39,27.1,5780,2.35,14704.38
Cement,2005,20266.64,2115.67,38108.54,29.86,3419,9.16,11480.86
Chemical,2022,9643.34,2881.28,19762.3,18.11,2143,2.58,9644.32
Cement,2018,20076.26,5689.26,2482.99,59.81,5637,4.55,18612.29
Textile,2022,9145.18,833.16,7981.76,40.25,7703,7.41,3449.08
Steel,2010,42515.17,4869.39,18012.49,57.11,5274,8.34,26559.28
Automobile,2010,15260.65,8967.86,3515.51,24.89,4165,5.3,24964.98
Cement,2022,30128.94,1962.9,34249.14,52.98,3614,2.63,15441.6
Steel,2012,25390.73,3378.77,5444.42,26.89,1747,3.44,17370.72
Chemical,2010,3068.16,4021.61,69529.39,52.01,7445,4.77,7575.41
Steel,2017,47140.57,5903.59,82071.8,7.86,4489,4.28,33373.15
Automobile,2022,26597.69,9200.62,88858.93,38.21,3633,4.14,30185.12
Cement,2014,16590.35,4005.94,55363.69,40.72,6571,2.19,14387.13
Textile,2000,8327.27,784.61,94704.44,39.37,4488,9.22,2792.21
Paper,2020,17257.07,3544.71,1558.9,26.82,2847,1.27,14338.84
Chemical,2024,1515.32,1981.85,14267.81,41.03,5025,4.96,2805.56
Cement,2006,18496.13,6552.57,30023.43,14.37,2145,9.82,20985.71
Automobile,2022,26808.55,389.69,79113.42,35.75,3104,6.94,10658.37
Chemical,2012,43657.38,2990.11,88653.52,33.25,4856,4.2,24390.06
Power,2011,34525.03,5497.22,62195.31,19.1,6119,2.31,26588.95
Steel,2017,6023.32,2845.61,38940.4,46.73,6258,9.67,5941.24
Paper,2023,7813.44,5554.85,66918.71,4.85,6318,1.13,15407.12
Automobile,2018,21692.11,1235.65,18909.04,10.29,3768,7.13,11212.68
Power,2014,10187.53,9433.77,46329.53,28.27,5059,8.92,23137.48
Cement,2007,1878.56,2979.98,51246.87,53.5,2808,1.23,5113.71
Textile,2018,40348.24,9237.71,11382.25,34.51,6480,7.53,36195.67
Chemical,2009,1466.37,3325.77,4353.39,50.52,1409,9.99,4756.96
Steel,2006,41619.14,7840.22,75260.44,31.05,1645,6.76,33923.9
Chemical,2017,7633.15,2537.25,53935.93,47.13,4920,4.73,6564.07
Paper,2015,48746.58,6730.71,33891.63,19.55,2551,8.87,34897.12
Cement,2019,30391.76,3304.79,44285.63,48.91,6734,5.99,18271.63
Chemical,2005,36881.66,5140.68,95812.64,24.1,6362,7.74,26013.44
Steel,2008,5968.94,6770.76,39106.46,33.53,2113,6.29,15485.7
Cement,2020,43174.15,5929.94,11244.44,10.55,4587,1.34,31891.44
Chemical,2012,42040.02,5805.18,46896.62,55.23,1061,2.92,29129.8
Textile,2024,32823.14,750.24,65156.79,42.09,2235,1.71,14532.14
Automobile,2020,25362.61,2565.86,2199.2,51.53,5343,1.96,14761.67
Cement,2007,36213.71,5761.21,33901.72,12.47,2727,1.14,28335.23
Automobile,2015,793.45,281.34,39957.93,4.06,5592,4.79,238.8
Cement,2012,29825.82,2581.38,46907.77,20.23,7199,2.61,17978.26
Textile,2012,42446.6,2368.93,30866.74,31,5554,8.7,22028.62
Automobile,2016,18166.54,2573.58,67025.3,48.14,3966,7.75,10981.22
Power,2022,5860.32,5402.53,94526.21,23.86,4360,6.16,12829.11
Steel,2019,21333.42,5861.41,91485.82,16.2,6662,5.4,21199.14
Power,2004,36491.67,9099.08,66774.95,22.35,2412,3.3,35149.23
Chemical,2021,5811.41,3921.71,51181.52,42.22,4584,5.27,8921.7
Textile,2020,10699.4,9273.13,82755.7,20.17,2733,6.77,23596.42
Power,2016,7803.82,6554.35,83757.78,58.75,7700,8.04,14616.49
Cement,2008,39948.91,9135.34,83127.73,10.5,4630,1.74,37445.96
Chemical,2001,3613.18,8351.37,16626.75,45.19,4869,7.38,17305.75
Chemical,2024,34486.03,6907.07,3517.8,35.35,6200,7.68,28378.67
Power,2017,18639.62,3625.45,98336.15,13.99,3491,6.03,15080.62
Power,2008,37911.67,2486.99,96005.77,45.22,3039,2.93,20371.23
Textile,2005,48236.98,2301.68,56873.47,26.85,5887,5.85,24994.34
Steel,2010,6169.99,9526.52,99313.31,40.94,2307,5.52,21434.84
Power,2024,16062.06,9589.88,77284.16,39.74,5012,5.28,26102.46
Paper,2005,40601.21,7275.83,52220.64,6.64,7634,5.15,33393.77
Power,2005,13674.84,8849.58,39543.78,50.4,2724,2,23366.75
Automobile,2012,11148.47,9198.06,59693.46,40.89,6670,2.65,23298.94
Cement,2010,41356.21,5164.41,52064.41,46.84,5690,1.88,27872.8
Paper,2013,49360.58,6327.69,99386.45,26.87,3455,3.18,34676.78
Paper,2001,28065.59,4245.67,49555.57,11.7,7470,3.37,21097.59
Automobile,2007,14263.41,4243.06,83756.19,19.57,1941,3.21,14585.27
Automobile,2002,20229.02,480.45,81548.76,54.09,6295,2.9,7648.45
Chemical,2022,8921.45,4394.83,8069.22,56.28,3036,7.62,10517.68
Steel,2020,38213.42,6767.55,9613.67,28.91,2813,8.37,29923.85
Cement,2002,38786.96,4277.62,66321.2,17.93,7526,3.94,25674.9
Textile,2000,43818.49,8736.86,26651.69,43.82,4061,3.75,36736.61
Paper,2023,1816.83,3392.37,66095.18,45.96,3394,8.6,5410.39
Textile,2018,28318.08,1413.55,15317.96,48.93,5367,6.62,13101.35
Power,2017,11105.64,8134.43,40309.75,1.87,2284,3.64,22381.68
Power,2016,17373.71,6772.08,11144.56,0.58,1395,7.42,21803.15
Textile,2019,39355.3,2494.01,28927.21,21.43,4763,4.1,21847.51
Power,2023,10005.67,5410.87,9741.56,9.15,5249,6.28,15286.87
Steel,2012,32097.92,4078.34,97087.29,48.3,2090,9.93,20292.81
Automobile,2002,32901.03,9394.71,40110.79,31.97,3888,3.71,33749.83
Power,2000,47727.65,6112.59,90217.69,49.52,2722,9.37,31819.94
Chemical,2003,38870.47,1668.05,97146.01,10.61,5443,3.89,20270.22
Power,2024,40279.94,5071.27,91046.7,37.63,5006,5.86,27074.37
Cement,2012,26814.24,8639.31,46041.01,34.81,2086,5.14,29063.69
Steel,2016,9745.65,6747.82,78110.83,20.42,7499,8.05,17447.95
Cement,2010,21565.39,8440.28,16216.25,31.02,2304,1.55,26846.24
Cement,2001,27699.73,2578.95,10388.43,35.34,4112,6.64,15928.17
Chemical,2024,34081.75,8894.68,87813.25,53.37,6659,7.85,31828.28
Steel,2015,30581.6,7580.55,4080.89,3.34,7510,5.25,29675.33
Steel,2001,20001.9,7316.25,97260.41,49.4,2014,1.95,22886.61
Steel,2018,13633,3530.76,67541.25,58.81,5372,3.2,11166.12
Steel,2022,8827.43,8887.81,42541.69,43.91,1220,7.12,20914.73
Steel,2018,34845.35,6416,14996.16,44.24,6848,9.06,26938.81
Chemical,2024,32447.23,8533.21,72599.88,13.08,4805,4.79,32276.32
Power,2015,34524.94,3673.62,56748.06,31.38,7204,6.04,21638.19
Cement,2021,18940.11,1541.96,71401.57,42.36,2126,3.06,9853.76
Steel,2018,13489.19,3390.14,42374.3,36.14,4256,4.71,11517.64
Paper,2008,38106.21,4607.12,7559.75,23.11,2930,4.03,25875.46
Power,2000,38795.55,5380.73,32182.25,56.41,3122,6.9,26211.2
Power,2009,23053.01,5157.01,32187.05,30.84,1472,9.86,19302.48
Cement,2018,30789.25,5505.94,1859.24,58.19,6120,8.32,22642.23
Chemical,2000,18989.22,8432.89,1948.52,33.83,1415,2.73,25416.71
Textile,2001,35246.39,1784,33745.07,47.6,6588,6.2,17137.68
Textile,2015,41868.22,3228.91,73034.72,44.52,6484,1.6,23971.5
Power,2011,34567.55,8897.22,62780.33,39.65,2868,3.22,33156.88
Automobile,2007,25872.84,5648.54,24662.75,0.87,6793,2.55,23728.77
Automobile,2022,23203.57,5875.56,60673.5,4.65,5112,4.02,22699.44
Cement,2017,32294.82,4832.82,65090.38,34.89,2533,7.11,22916.07
Textile,2001,34150.64,5534.85,52734.42,54.71,2462,5.49,24697.26
Power,2024,28157.11,2060.99,52614.04,36.07,6998,9.4,14634.08
Chemical,2012,31434.64,5513.98,37605.04,14.16,2865,2.91,25360.74
Textile,2005,5281.14,9972.01,13216.04,19.21,5009,4.28,23032.94
Power,2020,47612.39,5703.87,39162.9,37.39,4130,3.97,32002.09
Power,2005,39643.27,539.58,35188.1,35.82,2736,3.12,17219.35
Steel,2008,19009.43,7984.71,59605.29,57.34,4186,9.94,22634.21
Chemical,2015,28359.22,4025.11,85769.76,31.75,7346,4.49,19808.09
Steel,2010,2842.56,1621.39,38162.14,21.3,1471,9.46,2859.01
Cement,2006,2540.78,8638.95,71263.79,31.5,4177,4.51,18347.84
Steel,2009,12914.52,2059.94,81371.21,47.17,3926,2.84,8115.8
Paper,2009,34640.23,9215.6,21963.4,32.42,3865,2.07,34317.22
Steel,2024,42681.31,4473.79,90263.37,19.56,4197,8.7,27222.53
Paper,2019,28179.7,7453.63,7974.05,20.32,3461,1.29,28111.25
Textile,2017,26840.57,5515.26,90270.21,45.41,6794,9.68,21233.83
Automobile,2023,20414.32,2640.61,17199.66,3.99,4581,4.76,14264.99
Power,2019,8499.1,6743.79,34379.79,16.49,1500,3.23,17613.73
Paper,2008,6358.53,9583.33,60918.29,9.18,1120,6.56,22790.26
Chemical,2014,38153.65,7719.41,90662.65,56.68,2775,2.2,31620.64
Steel,2003,46411.43,6079.78,26314.44,5.41,1606,1.65,33846.26
Paper,2007,23185.02,9907.22,76593.82,45.49,5445,8.45,29395.54
Chemical,2008,33142.56,2726.73,71333.15,37.83,1819,4.82,18821.36
Automobile,2012,45765.65,717.18,16811.17,37.97,4264,5.66,19974.34
Automobile,2008,4960.62,418.1,48466.93,45.81,7797,2.59,1008.9
Steel,2003,38638.83,7135.81,48669,24.03,1783,1.55,31939.06
Cement,2016,31032.44,8319.3,31156.57,24.04,2846,4.31,30788.26
Steel,2015,30132.54,6387.5,78212.21,17.32,5592,5.56,26252.14
Textile,2014,14980.75,9059.76,92667.45,35.87,1391,7.89,24291.21
Paper,2002,34352.72,7009.96,71940.67,55.79,4745,5.51,27987.84
Power,2024,39842.49,3772.45,97322.52,55.44,2132,8.04,23046.11
Cement,2019,6086.48,1894.46,5996.38,42.18,3976,2.04,4974.73
Steel,2004,26909.31,9254.01,4685.05,54.37,3517,1.58,30103.61
Chemical,2022,5512.63,1125.61,89492.01,57.81,5445,2.43,2353.03
Cement,2004,43692.41,5475.59,89882.24,47.71,5870,7.95,28845.48
Paper,2019,25628.02,3208.68,11604.96,24.47,6841,7.83,16673.31
Cement,2014,40494.3,2787.01,36387.16,28.99,3196,2.27,22921.86
Paper,2017,18720.24,6493.77,83704.06,55.88,7399,1.28,20321.6
Steel,2014,6691.37,2389.25,13725.53,40.2,4460,7.17,5799.07
Paper,2001,2554.22,9172.01,27475.38,49.24,6318,8.7,18314.22
Cement,2012,14434.73,4119.83,68418.61,6.97,7027,7.79,14345.65
Chemical,2003,12589.57,6806.02,98208.01,11.63,6562,2.83,19833.75
Automobile,2009,28237.42,7304.78,79916.75,20.65,6968,6.25,27201.36
Cement,2012,1576.07,6861.12,77954.44,11.29,5439,7.82,14413.7
Paper,2009,26268.24,9043.66,34923.6,54.39,1676,3.3,29145.16
Automobile,2008,19892.7,2388.2,66472.96,13.01,7251,5.75,12995.36
Paper,2007,29067.55,951.94,12195.74,33.43,1594,3.83,13377.87
Chemical,2002,35269.67,649.11,99234.44,5.13,4884,3.03,16730.59
Paper,2015,31887.55,8790.66,48577.85,9.3,4151,9.73,32149.25
Steel,2013,49239.9,9735.54,64241.98,14.84,4324,9.21,41877.34
Power,2008,7344.13,3095.01,87741.02,58.97,7168,5.01,7153.88
Cement,2020,21771.98,6965.79,1095.53,47.82,7426,2.23,22941.73
Power,2010,21529.12,188.24,97622.26,40.41,3934,7.55,7579.83
Paper,2002,21144.13,1967.45,36556.77,54.98,6033,3.3,11248.05
Chemical,2004,33358.02,6923.82,34619.48,57.37,7763,2.52,27646.31
Cement,2009,24746.49,752.28,15361.27,27.21,7086,4.43,11170.94
Paper,2012,26112.91,4738.25,85960.26,19.66,5333,5.77,20696.16
Automobile,2003,21901.62,6659.57,87213.11,18.92,3985,1.88,23524.38
